# Timer data started: Sun Apr 11 10:40:43 2021
# timer(10 ns), starts, total starts, total stops
3197, 452, 606179, 1009
114, 18, 606197, 1010
3956, 530, 606727, 1011
293, 224, 606951, 1012
3431, 400, 607351, 1013
3010, 1112, 608463, 1014
3561, 886, 609349, 1015
396, 1263, 610612, 1016
270, 401, 611013, 1017
2977, 108, 611121, 1018
92, 602, 611723, 1019
1137, 637, 612360, 1020
429, 449, 612809, 1021
1659, 687, 613496, 1022
3177, 234, 613730, 1023
2004, 266, 613996, 1024
3132, 677, 614673, 1025
4039, 534, 615207, 1026
45, 1405, 616612, 1027
1738, 454, 617066, 1028
892, 1776, 618842, 1029
2283, 483, 619325, 1030
352, 750, 620075, 1031
955, 69, 620144, 1032
3531, 371, 620515, 1033
1005, 273, 620788, 1034
3943, 74, 620862, 1035
309, 1798, 622660, 1036
772, 973, 623633, 1037
241, 139, 623772, 1038
891, 225, 623997, 1039
1715, 722, 624719, 1040
2574, 126, 624845, 1041
3651, 694, 625539, 1042
31, 2009, 627548, 1043
2007, 205, 627753, 1044
338, 200, 627953, 1045
1436, 243, 628196, 1046
60, 335, 628531, 1047
161, 180, 628711, 1048
1215, 752, 629463, 1049
3396, 156, 629619, 1050
677, 61, 629680, 1051
777, 57, 629737, 1052
1500, 101, 629838, 1053
2927, 659, 630497, 1054
877, 707, 631204, 1055
3652, 530, 631734, 1056
1081, 84, 631818, 1057
3487, 29, 631847, 1058
2186, 73, 631920, 1059
1867, 445, 632365, 1060
144, 1152, 633517, 1061
1608, 2995, 636512, 1062
2431, 310, 636822, 1063
85, 468, 637290, 1064
1670, 892, 638182, 1065
1342, 328, 638510, 1066
1529, 544, 639054, 1067
